"Date","SOx","NOx","CO","PM","Source","Year","Quarter","Period"
2015-10-01,1214.18,45.42,31.2,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-02,1161.95,56.62,31.06,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-03,883.16,45.58,30.95,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-04,1339.45,45.96,35.21,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-05,1096.41,175.87,16.66,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-06,1135.53,195.36,9.09,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-07,845.17,207.6,8.39,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-20,962.96,137.16,15.19,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-21,1269.83,29.99,30.66,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-22,1222.63,38.71,24.53,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-23,955.09,42.24,27.03,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-24,772.84,50.35,23.17,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-25,905.43,55.14,20.07,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-26,729.23,52.68,23.39,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-27,1319.07,45.64,23.67,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-28,1261.38,52.33,24,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-29,1498.37,45.67,23.63,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-30,1480.41,41.22,22.91,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-31,1476.13,40.14,24.49,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-01,1259.68,43.15,20.75,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-02,1028.01,54.27,17.46,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-03,1308.26,54.14,19.01,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-04,1340.12,55.9,23.04,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-05,814.61,67.05,20.43,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-06,997.52,64.35,21.19,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-07,1350.8,61.07,21.17,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-08,1391.96,62.61,20.52,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-09,1285.07,62.27,22.37,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-10,1454.74,57.93,24.22,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-11,1533.58,59.77,22.31,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-12,1282.92,57.57,20.7,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-13,1359.15,63.65,21.33,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-14,1265.69,54.72,24.18,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-15,1443.93,64.94,21.54,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-16,863.12,189.22,16.21,0.16,"Unit 1","2015","2015 4Q","2015"
2015-11-19,729.14,182.36,9.3,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-13,870.78,263.49,22.24,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-14,2376.32,45.92,95.04,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-15,1183.98,80,72.9,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-18,980.5,123.63,42.11,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-19,821.63,211.86,70.29,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-21,1018.53,124.01,31.54,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-22,1673.09,91.32,28.92,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-23,1160.75,97.85,25.25,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-24,1129.59,88.5,28.82,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-25,951.17,81.46,43.09,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-26,1341.04,44.79,49.51,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-27,1096.2,63.25,37.9,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-28,989.13,56.68,43.31,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-29,1066.65,52.97,37.74,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-30,794.78,64.27,30.5,0.16,"Unit 1","2015","2015 4Q","2015"
2015-12-31,1388.17,55.2,31.39,0.16,"Unit 1","2015","2015 4Q","2015"
2016-10-01,703.93,42.8,21.78,0.1,"Unit 1","2016","2016 4Q","2016"
2016-10-03,727.19,39,24.48,0.85,"Unit 1","2016","2016 4Q","2016"
2016-10-04,722.6,37.48,29.34,1.01,"Unit 1","2016","2016 4Q","2016"
2016-10-09,805.53,31.17,28.48,0.67,"Unit 1","2016","2016 4Q","2016"
2016-10-10,1059.66,32.16,28.95,0.58,"Unit 1","2016","2016 4Q","2016"
2016-10-11,1044.49,38.49,23.97,0.45,"Unit 1","2016","2016 4Q","2016"
2016-10-12,891.9,46.26,21.32,0.34,"Unit 1","2016","2016 4Q","2016"
2016-10-13,816.6,36.71,24.55,0.3,"Unit 1","2016","2016 4Q","2016"
2016-10-14,948.08,36.77,25.57,0.3,"Unit 1","2016","2016 4Q","2016"
2016-10-15,904.46,34.15,29.04,0.26,"Unit 1","2016","2016 4Q","2016"
2016-10-16,1412.13,72.02,23.31,0.28,"Unit 1","2016","2016 4Q","2016"
2016-10-17,767.89,161.16,19.8,0.21,"Unit 1","2016","2016 4Q","2016"
2016-10-18,1000.26,34.91,40.73,0.2,"Unit 1","2016","2016 4Q","2016"
2016-10-19,709.79,30.14,31.91,0.2,"Unit 1","2016","2016 4Q","2016"
2016-10-20,1039.94,39.47,27.88,0.2,"Unit 1","2016","2016 4Q","2016"
2016-11-17,818.67,17.64,35.62,0.13,"Unit 1","2016","2016 4Q","2016"
2016-11-19,720.36,11.55,27.58,0.13,"Unit 1","2016","2016 4Q","2016"
2016-11-21,769.91,21.23,33.51,0.11,"Unit 1","2016","2016 4Q","2016"
2016-11-29,863.14,13.09,28.48,0.13,"Unit 1","2016","2016 4Q","2016"
2016-12-09,904.19,61.08,17.34,0,"Unit 1","2016","2016 4Q","2016"
2016-12-15,751,52.42,13.29,0,"Unit 1","2016","2016 4Q","2016"
2016-12-16,740.13,54.77,15.92,0,"Unit 1","2016","2016 4Q","2016"
2016-12-19,797.94,58.51,6.7,0,"Unit 1","2016","2016 4Q","2016"
2016-12-27,1130.45,6.38,48.78,0,"Unit 1","2016","2016 4Q","2016"
2016-12-29,1265.39,9.5,34,0,"Unit 1","2016","2016 4Q","2016"
2017-01-12,841.69,20.65,56.28,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-01-13,1243.37,26.4,20.47,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-01-15,736.42,20.366,27.66,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-01-16,1067.84,19.14,21,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-01-17,1309.32,37.04,13.45,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-01-18,1309.32,43.17,13.99,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-01-19,1291.45,21.73,18.9,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-01-20,853.42,12.95,22.2,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-01-29,719.53,27.3,27.82,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-01-31,924.03,21.78,45.98,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-02-05,712.6,2.37,9.02,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-02-06,773.87,2.17,11.25,0,"Unit 1","2017","2017 1Q","2017 1Q"
2017-04-11,765.65,31.92,166.58,0.87,"Unit 1","2017","2017 2Q","2017 2Q"
2015-10-09,707.9,251.07,0,0.26,"Unit 2","2015","2015 4Q","2015"
2015-10-12,700.47,225.68,0.21,0.26,"Unit 2","2015","2015 4Q","2015"
2015-10-15,818.09,830.81,17.78,0.28,"Unit 2","2015","2015 4Q","2015"
2015-10-17,917.66,498.08,1.66,0.22,"Unit 2","2015","2015 4Q","2015"
2015-10-18,900.76,439.07,0,0.14,"Unit 2","2015","2015 4Q","2015"
2015-10-19,863.92,441.43,0,0.13,"Unit 2","2015","2015 4Q","2015"
2015-10-20,4557.01,858.32,71.67,0.22,"Unit 2","2015","2015 4Q","2015"
2015-10-21,6960.6,1221.72,200.76,0.25,"Unit 2","2015","2015 4Q","2015"
2015-10-22,10959.32,1210.72,200.76,0.24,"Unit 2","2015","2015 4Q","2015"
2015-10-23,4867.44,1061.79,179.44,0.25,"Unit 2","2015","2015 4Q","2015"
2015-10-24,3849.93,1130.96,189.04,0.25,"Unit 2","2015","2015 4Q","2015"
2015-10-25,4623.04,1328.32,165.4,0.26,"Unit 2","2015","2015 4Q","2015"
2015-10-26,4706.71,1150.38,89.39,0.24,"Unit 2","2015","2015 4Q","2015"
2015-10-27,14649.67,953.97,174.29,0.25,"Unit 2","2015","2015 4Q","2015"
2015-10-28,8040.52,833.99,208.99,0.22,"Unit 2","2015","2015 4Q","2015"
2015-11-17,4008.63,1240.04,91.74,0.26,"Unit 2","2015","2015 4Q","2015"
2015-11-18,5774.52,1340.28,35.49,0.34,"Unit 2","2015","2015 4Q","2015"
2015-11-19,7760.62,1668.9,79.8,0.33,"Unit 2","2015","2015 4Q","2015"
2015-11-20,4738.53,1447,39.07,0.33,"Unit 2","2015","2015 4Q","2015"
2015-11-21,3488.9,1400.87,46.35,0.33,"Unit 2","2015","2015 4Q","2015"
2015-11-22,3402.41,1290.15,48.58,0.34,"Unit 2","2015","2015 4Q","2015"
2015-11-23,4409.89,1186.12,43.35,0.34,"Unit 2","2015","2015 4Q","2015"
2015-11-24,4367.23,1737.28,75.46,0.34,"Unit 2","2015","2015 4Q","2015"
2015-11-25,4303.09,1594.35,60.86,0.33,"Unit 2","2015","2015 4Q","2015"
2015-11-26,3985.55,1434.99,51.17,0.33,"Unit 2","2015","2015 4Q","2015"
2015-11-27,3878.15,1202.29,43.75,0.32,"Unit 2","2015","2015 4Q","2015"
2015-11-28,3878.15,1202.29,43.75,0.32,"Unit 2","2015","2015 4Q","2015"
2015-11-29,3761.1,1131.67,46.6,0.34,"Unit 2","2015","2015 4Q","2015"
2015-11-30,3775.26,1317.11,61.75,0.35,"Unit 2","2015","2015 4Q","2015"
2015-12-01,4062.34,1264.6,51.61,0.35,"Unit 2","2015","2015 4Q","2015"
2015-12-02,3411.17,1252.38,50.88,0.36,"Unit 2","2015","2015 4Q","2015"
2015-12-03,1320.08,356.12,29.52,0.35,"Unit 2","2015","2015 4Q","2015"
2016-11-15,865.27,6.95,13.85,0,"Unit 2","2016","2016 4Q","2016"
2016-12-06,1267.38,15.19,12,0,"Unit 2","2016","2016 4Q","2016"
2016-12-07,825.51,6.75,15.3,0,"Unit 2","2016","2016 4Q","2016"
2016-12-10,833.24,8.15,15.72,0,"Unit 2","2016","2016 4Q","2016"
2016-12-15,948.21,8.21,13.48,0,"Unit 2","2016","2016 4Q","2016"
2016-12-17,738.08,8.93,14.1,0,"Unit 2","2016","2016 4Q","2016"
2016-12-18,768.97,7.82,13.78,0,"Unit 2","2016","2016 4Q","2016"
2016-12-20,744.58,9.25,13.14,0,"Unit 2","2016","2016 4Q","2016"
2016-12-26,703.66,7.08,18.61,0,"Unit 2","2016","2016 4Q","2016"
2016-12-28,725.27,7.95,18.47,0,"Unit 2","2016","2016 4Q","2016"
2016-12-29,733.48,8.19,13.95,0,"Unit 2","2016","2016 4Q","2016"
